LAST SEEN   TYPE      REASON              OBJECT                                               MESSAGE
26m         Normal    Started             pod/cilium-envoy-7vlm7                               Started container cilium-envoy
26m         Warning   Unhealthy           pod/cilium-envoy-7vlm7                               Startup probe failed: Get "http://127.0.0.1:9878/healthz": dial tcp 127.0.0.1:9878: connect: connection refused
15m         Normal    Pulled              pod/cilium-envoy-7vlm7                               Container image "quay.io/cilium/cilium-envoy:v1.30.9-1737073743-40a016d11c0d863b772961ed0168eea6fe6b10a5@sha256:a69dfe0e54b24b0ff747385c8feeae0612cfbcae97bfcc8ee42a773bb3f69c88" already present on machine
15m         Normal    Created             pod/cilium-envoy-7vlm7                               Created container: cilium-envoy
15m         Normal    Started             pod/cilium-envoy-7vlm7                               Started container cilium-envoy
14m         Warning   Unhealthy           pod/cilium-envoy-7vlm7                               Startup probe failed: Get "http://127.0.0.1:9878/healthz": dial tcp 127.0.0.1:9878: connect: connection refused
86m         Normal    SuccessfulCreate    daemonset/cilium-envoy                               Created pod: cilium-envoy-7vlm7
78m         Normal    Scheduled           pod/cilium-m7cx9                                     Successfully assigned kube-system/cilium-m7cx9 to k8s-control-1
78m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
78m         Normal    Created             pod/cilium-m7cx9                                     Created container: config
78m         Normal    Started             pod/cilium-m7cx9                                     Started container config
78m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
77m         Normal    Created             pod/cilium-m7cx9                                     Created container: mount-cgroup
77m         Normal    Started             pod/cilium-m7cx9                                     Started container mount-cgroup
77m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
77m         Normal    Created             pod/cilium-m7cx9                                     Created container: apply-sysctl-overwrites
77m         Normal    Started             pod/cilium-m7cx9                                     Started container apply-sysctl-overwrites
77m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
77m         Normal    Created             pod/cilium-m7cx9                                     Created container: clean-cilium-state
77m         Normal    Started             pod/cilium-m7cx9                                     Started container clean-cilium-state
77m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
77m         Normal    Created             pod/cilium-m7cx9                                     Created container: install-cni-binaries
77m         Normal    Started             pod/cilium-m7cx9                                     Started container install-cni-binaries
77m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
77m         Normal    Created             pod/cilium-m7cx9                                     Created container: cilium-agent
77m         Normal    Started             pod/cilium-m7cx9                                     Started container cilium-agent
77m         Warning   Unhealthy           pod/cilium-m7cx9                                     Startup probe failed: Get "http://127.0.0.1:9879/healthz": dial tcp 127.0.0.1:9879: connect: connection refused
26m         Normal    SandboxChanged      pod/cilium-m7cx9                                     Pod sandbox changed, it will be killed and re-created.
26m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
26m         Normal    Created             pod/cilium-m7cx9                                     Created container: config
26m         Normal    Started             pod/cilium-m7cx9                                     Started container config
26m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
26m         Normal    Created             pod/cilium-m7cx9                                     Created container: mount-cgroup
26m         Normal    Started             pod/cilium-m7cx9                                     Started container mount-cgroup
26m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
26m         Normal    Created             pod/cilium-m7cx9                                     Created container: apply-sysctl-overwrites
26m         Normal    Started             pod/cilium-m7cx9                                     Started container apply-sysctl-overwrites
26m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
26m         Normal    Created             pod/cilium-m7cx9                                     Created container: clean-cilium-state
26m         Normal    Started             pod/cilium-m7cx9                                     Started container clean-cilium-state
26m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
26m         Normal    Created             pod/cilium-m7cx9                                     Created container: install-cni-binaries
26m         Normal    Started             pod/cilium-m7cx9                                     Started container install-cni-binaries
26m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
26m         Normal    Created             pod/cilium-m7cx9                                     Created container: cilium-agent
26m         Normal    Started             pod/cilium-m7cx9                                     Started container cilium-agent
26m         Warning   Unhealthy           pod/cilium-m7cx9                                     Startup probe failed: Get "http://127.0.0.1:9879/healthz": dial tcp 127.0.0.1:9879: connect: connection refused
15m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
15m         Normal    Created             pod/cilium-m7cx9                                     Created container: config
15m         Normal    Started             pod/cilium-m7cx9                                     Started container config
15m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
15m         Normal    Created             pod/cilium-m7cx9                                     Created container: mount-cgroup
15m         Normal    Started             pod/cilium-m7cx9                                     Started container mount-cgroup
15m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
15m         Normal    Created             pod/cilium-m7cx9                                     Created container: apply-sysctl-overwrites
15m         Normal    Started             pod/cilium-m7cx9                                     Started container apply-sysctl-overwrites
15m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
15m         Normal    Created             pod/cilium-m7cx9                                     Created container: clean-cilium-state
15m         Normal    Started             pod/cilium-m7cx9                                     Started container clean-cilium-state
15m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
14m         Normal    Created             pod/cilium-m7cx9                                     Created container: install-cni-binaries
14m         Normal    Started             pod/cilium-m7cx9                                     Started container install-cni-binaries
14m         Normal    Pulled              pod/cilium-m7cx9                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
14m         Normal    Created             pod/cilium-m7cx9                                     Created container: cilium-agent
14m         Normal    Started             pod/cilium-m7cx9                                     Started container cilium-agent
14m         Warning   Unhealthy           pod/cilium-m7cx9                                     Startup probe failed: Get "http://127.0.0.1:9879/healthz": dial tcp 127.0.0.1:9879: connect: connection refused
86m         Warning   FailedScheduling    pod/cilium-operator-6679d5df8b-48sf2                 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports. preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
84m         Warning   FailedScheduling    pod/cilium-operator-6679d5df8b-48sf2                 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports. preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
78m         Warning   FailedScheduling    pod/cilium-operator-6679d5df8b-48sf2                 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports. preemption: 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports.
86m         Normal    Scheduled           pod/cilium-operator-6679d5df8b-mbwr4                 Successfully assigned kube-system/cilium-operator-6679d5df8b-mbwr4 to k8s-control-1
86m         Normal    Pulling             pod/cilium-operator-6679d5df8b-mbwr4                 Pulling image "quay.io/cilium/operator-generic:v1.16.6@sha256:13d32071d5a52c069fb7c35959a56009c6914439adc73e99e098917646d154fc"
85m         Normal    Pulled              pod/cilium-operator-6679d5df8b-mbwr4                 Successfully pulled image "quay.io/cilium/operator-generic:v1.16.6@sha256:13d32071d5a52c069fb7c35959a56009c6914439adc73e99e098917646d154fc" in 21.542s (21.542s including waiting). Image size: 31231047 bytes.
78m         Normal    Created             pod/cilium-operator-6679d5df8b-mbwr4                 Created container: cilium-operator
78m         Normal    Started             pod/cilium-operator-6679d5df8b-mbwr4                 Started container cilium-operator
78m         Warning   Unhealthy           pod/cilium-operator-6679d5df8b-mbwr4                 Readiness probe failed: Get "http://127.0.0.1:9234/healthz": dial tcp 127.0.0.1:9234: connect: connection refused
79m         Warning   Unhealthy           pod/cilium-operator-6679d5df8b-mbwr4                 Liveness probe failed: Get "http://127.0.0.1:9234/healthz": dial tcp 127.0.0.1:9234: connect: connection refused
78m         Normal    Pulled              pod/cilium-operator-6679d5df8b-mbwr4                 Container image "quay.io/cilium/operator-generic:v1.16.6@sha256:13d32071d5a52c069fb7c35959a56009c6914439adc73e99e098917646d154fc" already present on machine
79m         Warning   BackOff             pod/cilium-operator-6679d5df8b-mbwr4                 Back-off restarting failed container cilium-operator in pod cilium-operator-6679d5df8b-mbwr4_kube-system(4cb6d364-f48d-430a-ae7f-b8966ea01a4d)
48m         Normal    Killing             pod/cilium-operator-6679d5df8b-mbwr4                 Stopping container cilium-operator
86m         Normal    SuccessfulCreate    replicaset/cilium-operator-6679d5df8b                Created pod: cilium-operator-6679d5df8b-mbwr4
86m         Normal    SuccessfulCreate    replicaset/cilium-operator-6679d5df8b                Created pod: cilium-operator-6679d5df8b-48sf2
78m         Normal    SuccessfulDelete    replicaset/cilium-operator-6679d5df8b                Deleted pod: cilium-operator-6679d5df8b-48sf2
48m         Normal    SuccessfulDelete    replicaset/cilium-operator-6679d5df8b                Deleted pod: cilium-operator-6679d5df8b-mbwr4
78m         Warning   FailedScheduling    pod/cilium-operator-69ff5d9f68-cxcxq                 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports. preemption: 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports.
52m         Warning   FailedScheduling    pod/cilium-operator-69ff5d9f68-cxcxq                 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports. preemption: 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports.
78m         Warning   FailedScheduling    pod/cilium-operator-69ff5d9f68-vfw2l                 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports. preemption: 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports.
51m         Warning   FailedScheduling    pod/cilium-operator-69ff5d9f68-vfw2l                 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports. preemption: 0/1 nodes are available: 1 node(s) didn't have free ports for the requested pod ports.
48m         Normal    Scheduled           pod/cilium-operator-69ff5d9f68-vfw2l                 Successfully assigned kube-system/cilium-operator-69ff5d9f68-vfw2l to k8s-control-1
48m         Normal    Pulled              pod/cilium-operator-69ff5d9f68-vfw2l                 Container image "quay.io/cilium/operator-generic:v1.16.6@sha256:13d32071d5a52c069fb7c35959a56009c6914439adc73e99e098917646d154fc" already present on machine
48m         Normal    Created             pod/cilium-operator-69ff5d9f68-vfw2l                 Created container: cilium-operator
48m         Normal    Started             pod/cilium-operator-69ff5d9f68-vfw2l                 Started container cilium-operator
48m         Warning   Unhealthy           pod/cilium-operator-69ff5d9f68-vfw2l                 Readiness probe failed: Get "http://127.0.0.1:9234/healthz": dial tcp 127.0.0.1:9234: connect: connection refused
26m         Normal    SandboxChanged      pod/cilium-operator-69ff5d9f68-vfw2l                 Pod sandbox changed, it will be killed and re-created.
24m         Normal    Pulled              pod/cilium-operator-69ff5d9f68-vfw2l                 Container image "quay.io/cilium/operator-generic:v1.16.6@sha256:13d32071d5a52c069fb7c35959a56009c6914439adc73e99e098917646d154fc" already present on machine
23m         Normal    Created             pod/cilium-operator-69ff5d9f68-vfw2l                 Created container: cilium-operator
23m         Normal    Started             pod/cilium-operator-69ff5d9f68-vfw2l                 Started container cilium-operator
24m         Warning   Unhealthy           pod/cilium-operator-69ff5d9f68-vfw2l                 Readiness probe failed: Get "http://127.0.0.1:9234/healthz": dial tcp 127.0.0.1:9234: connect: connection refused
24m         Warning   BackOff             pod/cilium-operator-69ff5d9f68-vfw2l                 Back-off restarting failed container cilium-operator in pod cilium-operator-69ff5d9f68-vfw2l_kube-system(b6ab4900-1d54-4eed-98b1-50470adc9c10)
23m         Normal    Killing             pod/cilium-operator-69ff5d9f68-vfw2l                 Stopping container cilium-operator
23m         Normal    Scheduled           pod/cilium-operator-69ff5d9f68-wmr66                 Successfully assigned kube-system/cilium-operator-69ff5d9f68-wmr66 to k8s-control-1
23m         Normal    Pulled              pod/cilium-operator-69ff5d9f68-wmr66                 Container image "quay.io/cilium/operator-generic:v1.16.6@sha256:13d32071d5a52c069fb7c35959a56009c6914439adc73e99e098917646d154fc" already present on machine
23m         Normal    Created             pod/cilium-operator-69ff5d9f68-wmr66                 Created container: cilium-operator
23m         Normal    Started             pod/cilium-operator-69ff5d9f68-wmr66                 Started container cilium-operator
23m         Warning   Unhealthy           pod/cilium-operator-69ff5d9f68-wmr66                 Readiness probe failed: Get "http://127.0.0.1:9234/healthz": dial tcp 127.0.0.1:9234: connect: connection refused
15m         Normal    Pulled              pod/cilium-operator-69ff5d9f68-wmr66                 Container image "quay.io/cilium/operator-generic:v1.16.6@sha256:13d32071d5a52c069fb7c35959a56009c6914439adc73e99e098917646d154fc" already present on machine
15m         Normal    Created             pod/cilium-operator-69ff5d9f68-wmr66                 Created container: cilium-operator
15m         Normal    Started             pod/cilium-operator-69ff5d9f68-wmr66                 Started container cilium-operator
15m         Warning   Unhealthy           pod/cilium-operator-69ff5d9f68-wmr66                 Readiness probe failed: Get "http://127.0.0.1:9234/healthz": dial tcp 127.0.0.1:9234: connect: connection refused
78m         Normal    SuccessfulCreate    replicaset/cilium-operator-69ff5d9f68                Created pod: cilium-operator-69ff5d9f68-cxcxq
78m         Normal    SuccessfulCreate    replicaset/cilium-operator-69ff5d9f68                Created pod: cilium-operator-69ff5d9f68-vfw2l
48m         Normal    SuccessfulDelete    replicaset/cilium-operator-69ff5d9f68                Deleted pod: cilium-operator-69ff5d9f68-cxcxq
23m         Normal    SuccessfulCreate    replicaset/cilium-operator-69ff5d9f68                Created pod: cilium-operator-69ff5d9f68-wmr66
86m         Normal    ScalingReplicaSet   deployment/cilium-operator                           Scaled up replica set cilium-operator-6679d5df8b from 0 to 2
78m         Normal    ScalingReplicaSet   deployment/cilium-operator                           Scaled up replica set cilium-operator-69ff5d9f68 from 0 to 1
78m         Normal    ScalingReplicaSet   deployment/cilium-operator                           Scaled down replica set cilium-operator-6679d5df8b from 2 to 1
78m         Normal    ScalingReplicaSet   deployment/cilium-operator                           Scaled up replica set cilium-operator-69ff5d9f68 from 1 to 2
48m         Normal    ScalingReplicaSet   deployment/cilium-operator                           Scaled down replica set cilium-operator-69ff5d9f68 from 2 to 1
48m         Normal    ScalingReplicaSet   deployment/cilium-operator                           Scaled down replica set cilium-operator-6679d5df8b from 1 to 0
86m         Normal    Scheduled           pod/cilium-twrwj                                     Successfully assigned kube-system/cilium-twrwj to k8s-control-1
86m         Normal    Pulling             pod/cilium-twrwj                                     Pulling image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da"
85m         Normal    Pulled              pod/cilium-twrwj                                     Successfully pulled image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" in 47.624s (47.624s including waiting). Image size: 224362848 bytes.
85m         Normal    Created             pod/cilium-twrwj                                     Created container: config
85m         Normal    Started             pod/cilium-twrwj                                     Started container config
85m         Normal    Pulled              pod/cilium-twrwj                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
85m         Normal    Created             pod/cilium-twrwj                                     Created container: mount-cgroup
85m         Normal    Started             pod/cilium-twrwj                                     Started container mount-cgroup
85m         Normal    Pulled              pod/cilium-twrwj                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
85m         Normal    Created             pod/cilium-twrwj                                     Created container: apply-sysctl-overwrites
85m         Normal    Started             pod/cilium-twrwj                                     Started container apply-sysctl-overwrites
85m         Normal    Pulled              pod/cilium-twrwj                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
85m         Normal    Created             pod/cilium-twrwj                                     Created container: clean-cilium-state
85m         Normal    Started             pod/cilium-twrwj                                     Started container clean-cilium-state
85m         Normal    Pulled              pod/cilium-twrwj                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
85m         Normal    Created             pod/cilium-twrwj                                     Created container: install-cni-binaries
85m         Normal    Started             pod/cilium-twrwj                                     Started container install-cni-binaries
85m         Normal    Pulled              pod/cilium-twrwj                                     Container image "quay.io/cilium/cilium:v1.16.6@sha256:1e0896b1c4c188b4812c7e0bed7ec3f5631388ca88325c1391a0ef9172c448da" already present on machine
85m         Normal    Created             pod/cilium-twrwj                                     Created container: cilium-agent
85m         Normal    Started             pod/cilium-twrwj                                     Started container cilium-agent
84m         Warning   Unhealthy           pod/cilium-twrwj                                     Startup probe failed: Get "http://127.0.0.1:9879/healthz": dial tcp 127.0.0.1:9879: connect: connection refused
78m         Normal    Killing             pod/cilium-twrwj                                     Stopping container cilium-agent
86m         Normal    SuccessfulCreate    daemonset/cilium                                     Created pod: cilium-twrwj
78m         Normal    HelmChartCreated    helmrelease/cilium                                   Created HelmChart/flux-system/kube-system-cilium with SourceRef 'HelmRepository/flux-system/cilium'
78m         Normal    SuccessfulDelete    daemonset/cilium                                     Deleted pod: cilium-twrwj
78m         Normal    SuccessfulCreate    daemonset/cilium                                     Created pod: cilium-m7cx9
76m         Warning   UpgradeFailed       helmrelease/cilium                                   Helm upgrade failed for release kube-system/cilium with chart cilium@1.16.6: context canceled...
56m         Warning   UpgradeFailed       helmrelease/cilium                                   Helm upgrade failed for release kube-system/cilium with chart cilium@1.16.6: context deadline exceeded...
48m         Normal    UpgradeSucceeded    helmrelease/cilium                                   Helm upgrade succeeded for release kube-system/cilium.v4 with chart cilium@1.16.6
86m         Warning   FailedScheduling    pod/coredns-578d4f8ffc-58ksp                         no nodes available to schedule pods
86m         Warning   FailedScheduling    pod/coredns-578d4f8ffc-58ksp                         no nodes available to schedule pods
84m         Normal    Scheduled           pod/coredns-578d4f8ffc-58ksp                         Successfully assigned kube-system/coredns-578d4f8ffc-58ksp to k8s-control-1
84m         Normal    Pulling             pod/coredns-578d4f8ffc-58ksp                         Pulling image "registry.k8s.io/coredns/coredns:v1.12.0"
84m         Normal    Pulled              pod/coredns-578d4f8ffc-58ksp                         Successfully pulled image "registry.k8s.io/coredns/coredns:v1.12.0" in 22.405s (22.405s including waiting). Image size: 20939036 bytes.
84m         Normal    Created             pod/coredns-578d4f8ffc-58ksp                         Created container: coredns
84m         Normal    Started             pod/coredns-578d4f8ffc-58ksp                         Started container coredns
84m         Warning   Unhealthy           pod/coredns-578d4f8ffc-58ksp                         Readiness probe failed: Get "http://172.16.0.7:8181/ready": dial tcp 172.16.0.7:8181: connect: connection refused
26m         Normal    SandboxChanged      pod/coredns-578d4f8ffc-58ksp                         Pod sandbox changed, it will be killed and re-created.
24m         Normal    Pulled              pod/coredns-578d4f8ffc-58ksp                         Container image "registry.k8s.io/coredns/coredns:v1.12.0" already present on machine
24m         Normal    Created             pod/coredns-578d4f8ffc-58ksp                         Created container: coredns
24m         Normal    Started             pod/coredns-578d4f8ffc-58ksp                         Started container coredns
24m         Normal    Killing             pod/coredns-578d4f8ffc-58ksp                         Stopping container coredns
24m         Warning   Unhealthy           pod/coredns-578d4f8ffc-58ksp                         Readiness probe failed: Get "http://172.16.0.234:8181/ready": dial tcp 172.16.0.234:8181: connect: connection refused
23m         Warning   Unhealthy           pod/coredns-578d4f8ffc-58ksp                         Readiness probe failed: HTTP probe failed with statuscode: 503
23m         Warning   FailedScheduling    pod/coredns-578d4f8ffc-7khnw                         0/1 nodes are available: 1 node(s) were unschedulable. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
14m         Warning   FailedScheduling    pod/coredns-578d4f8ffc-7khnw                         0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/unschedulable: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
14m         Normal    Scheduled           pod/coredns-578d4f8ffc-7khnw                         Successfully assigned kube-system/coredns-578d4f8ffc-7khnw to k8s-control-1
14m         Normal    Pulled              pod/coredns-578d4f8ffc-7khnw                         Container image "registry.k8s.io/coredns/coredns:v1.12.0" already present on machine
14m         Normal    Created             pod/coredns-578d4f8ffc-7khnw                         Created container: coredns
14m         Normal    Started             pod/coredns-578d4f8ffc-7khnw                         Started container coredns
25m         Normal    Scheduled           pod/coredns-578d4f8ffc-9gd2x                         Successfully assigned kube-system/coredns-578d4f8ffc-9gd2x to k8s-control-1
24m         Normal    Pulled              pod/coredns-578d4f8ffc-9gd2x                         Container image "registry.k8s.io/coredns/coredns:v1.12.0" already present on machine
24m         Normal    Created             pod/coredns-578d4f8ffc-9gd2x                         Created container: coredns
24m         Normal    Started             pod/coredns-578d4f8ffc-9gd2x                         Started container coredns
23m         Warning   Unhealthy           pod/coredns-578d4f8ffc-9gd2x                         Readiness probe failed: Get "http://172.16.0.240:8181/ready": dial tcp 172.16.0.240:8181: connect: connection refused
23m         Normal    Killing             pod/coredns-578d4f8ffc-9gd2x                         Stopping container coredns
86m         Warning   FailedScheduling    pod/coredns-578d4f8ffc-jtr8r                         no nodes available to schedule pods
86m         Warning   FailedScheduling    pod/coredns-578d4f8ffc-jtr8r                         no nodes available to schedule pods
84m         Normal    Scheduled           pod/coredns-578d4f8ffc-jtr8r                         Successfully assigned kube-system/coredns-578d4f8ffc-jtr8r to k8s-control-1
84m         Normal    Pulling             pod/coredns-578d4f8ffc-jtr8r                         Pulling image "registry.k8s.io/coredns/coredns:v1.12.0"
84m         Normal    Pulled              pod/coredns-578d4f8ffc-jtr8r                         Successfully pulled image "registry.k8s.io/coredns/coredns:v1.12.0" in 22.908s (22.908s including waiting). Image size: 20939036 bytes.
84m         Normal    Created             pod/coredns-578d4f8ffc-jtr8r                         Created container: coredns
84m         Normal    Started             pod/coredns-578d4f8ffc-jtr8r                         Started container coredns
84m         Warning   Unhealthy           pod/coredns-578d4f8ffc-jtr8r                         Readiness probe failed: HTTP probe failed with statuscode: 503
26m         Normal    SandboxChanged      pod/coredns-578d4f8ffc-jtr8r                         Pod sandbox changed, it will be killed and re-created.
24m         Normal    Pulled              pod/coredns-578d4f8ffc-jtr8r                         Container image "registry.k8s.io/coredns/coredns:v1.12.0" already present on machine
24m         Normal    Created             pod/coredns-578d4f8ffc-jtr8r                         Created container: coredns
24m         Normal    Started             pod/coredns-578d4f8ffc-jtr8r                         Started container coredns
24m         Normal    Killing             pod/coredns-578d4f8ffc-jtr8r                         Stopping container coredns
24m         Warning   Unhealthy           pod/coredns-578d4f8ffc-jtr8r                         Readiness probe failed: Get "http://172.16.0.121:8181/ready": dial tcp 172.16.0.121:8181: connect: connection refused
23m         Warning   FailedScheduling    pod/coredns-578d4f8ffc-r2wpl                         0/1 nodes are available: 1 node(s) were unschedulable. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
14m         Warning   FailedScheduling    pod/coredns-578d4f8ffc-r2wpl                         0/1 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/unschedulable: }. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
